Test,8,1,12,20,16,32,28,24,2,5,9,13,21,17,33,29,25,3,6,10,14,22,18,34,30,26,4,7,11,15,23,19,35,31,27
Strain,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-0.070395029,-0.107944962,-0.133466489,0.012339103,-0.345139814,0.202396804,0.008877053,-0.652463382,-0.037638704,0.027430093,0.016245007,-0.102086107,0.0394585,0.379804705,0.449667111,0.040479361,-0.153129161,0,0.016511318,0.039280959,-0.242166001,0.134753662,0.241455837,0.14620506,-0.202396804,-0.630093209,0.037638704,-0.119440746,0.002041722,0.072126054,-0.045494896,-0.039946738,0.090545939,-0.006480249,-0.271016423
1,-0.070395029,-0.068175766,-0.077496671,-0.067865069,0.366711052,0.330226365,-0.035508211,-0.333999112,-0.04704838,0.173723924,0.018952508,-0.024500666,0.095827785,0.370972037,0.735818908,-0.060719041,-0.086551265,0.014114514,0.061917443,0.036662228,-0.203106968,0.17150466,0.241455837,0.151620062,-0.308655126,-0.352552153,-0.02352419,0.057123835,0.002041722,0.088770528,0.012738571,-0.012782956,0.011318242,-0.029161119,-0.129782512
1.5,-0.054150022,-0.073857079,-0.034442965,-0.049356414,0.452996005,0.447403462,-0.044385264,-0.225255215,-0.02352419,0.164580559,0.027075011,0.004083444,0.084553928,0.485796715,0.735818908,-0.040479361,0.026631158,0.032933866,0.111451398,0.020949845,-0.148424323,0.140878828,0.308921438,0.14620506,-0.283355526,-0.232534399,0.04704838,0.119440746,0.004083444,0.094318686,0.014558367,0.068708389,-0.015845539,-0.016200621,-0.003817133
2,-0.054150022,-0.04545051,-0.004305371,-0.104882379,0.496138482,0.426098535,-0.057700843,-0.155348424,-0.018819352,0.182867288,0.027075011,0.016333777,0.084553928,0.591788726,0.817576565,-0.060719041,0.033288948,0.042343542,0.111451398,0.018331114,-0.109365291,0.165379494,0.323124723,0.162450067,-0.273235686,-0.135019973,0.037638704,0.181757656,0.008166889,0.066577896,0.012738571,0.119840213,0.004527297,-0.003240124,0.057256991
2.5,-0.037905016,-0.028406569,0.043053706,-0.141899689,0.539280959,0.468708389,-0.022192632,-0.077674212,-0.009409676,0.192010652,0.02436751,0.044917887,0.090190857,0.644784731,0.872081669,-0.070838881,0.059920107,0.04704838,0.152729694,0.036662228,-0.039059032,0.156191744,0.351531292,0.157035064,-0.222636485,-0.180026631,0.051753218,0.207723036,0.024500666,0.02774079,0.045494896,0.145406125,-0.038482024,-0.009720373,0.04198846
3,0.005415002,-0.005681314,0.094718154,-0.154238793,0.625565912,0.505992011,0.004438526,0.031069685,0.018819352,0.192010652,0.032490013,0.065335109,0.073280071,0.706613404,0.926586773,-0.070838881,0.053262317,0.04704838,0.173368842,0.052374612,0.039059032,0.162316911,0.362183755,0.189525078,-0.217576565,-0.240035508,0.065867732,0.233688415,0.030625832,0.033288948,0.054593875,0.169374168,-0.020372836,0.003240124,0.103062583
3.5,-0.005415002,0.022725255,0.116245007,-0.135730138,0.625565912,0.569906791,0.057700843,0,0.028229028,0.219440746,0.032490013,0.106169552,0.118375499,0.724278739,0.722192632,-0.050599201,0.053262317,0.051753218,0.160985353,0.060230803,0.085929871,0.165379494,0.379937861,0.205770084,-0.182157124,0.180026631,0.084687084,0.259653795,0.038792721,0.033288948,0.063692854,0.198135819,-0.002263648,0.029161119,0.167953839
