Test,8,Test,1,Test,12,Test,20,Test,16,Test,32,Test,28,Test,24,Test,43,Test,36,Test,47,Test,55,Test,51,Test,67,Test,63,Test,59,Test,2,Test,5,Test,9,Test,13,Test,21,Test,17,Test,33,Test,29,Test,25,Test,37,Test,40,Test,44,Test,48,Test,56,Test,52,Test,68,Test,64,Test,60,Test,3,Test,6,Test,10,Test,14,Test,22,Test,18,Test,34,Test,30,Test,26,Test,38,Test,41,Test,45,Test,49,Test,57,Test,53,Test,69,Test,65,Test,61,Test,4,Test,7,Test,11,Test,15,Test,23,Test,19,Test,35,Test,31,Test,27,Test,39,Test,42,Test,46,Test,50,Test,58,Test,54,Test,70,Test,66,Test,62
Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa
4.5,0.68,4.5,0.73,4.5,0.75,4.5,0.53,4.5,0.22,4.5,0.92,4.5,0.81,4.5,0.84,4.5,1.25,4.5,1.11,4.5,2.8,4.5,1.15,4.5,2.26,4.5,4.1,4.5,4.51,4.5,6.41,4.5,0.97,4.5,0.48,4.5,0.67,4.5,0.7,4.5,0.52,4.5,0.12,4.5,0.79,4.5,0.86,4.5,0.77,4.5,2.64,4.5,1.53,4.5,1.43,4.5,2.63,4.5,1.67,4.5,1.92,4.5,4.78,4.5,4.56,4.5,6.73,4.5,0.73,4.5,0.01,4.5,0.27,4.5,0.44,4.5,0.25,4.5,0.29,4.5,0.71,4.5,0.91,4.5,0.8,4.5,2.36,4.5,1.08,4.5,1.72,4.5,2.07,4.5,0.68,4.5,1.02,4.5,4.67,4.5,5.02,4.5,5.61,4.5,0.88,4.5,0.53,4.5,0.28,4.5,0.74,4.5,0.25,4.5,0.4,4.5,0.91,4.5,0.8,4.5,0.64,4.5,0.95,4.5,1.14,4.5,1.54,4.5,2.05,4.5,0.52,4.5,1.06,4.5,5.11,4.5,4.85,4.5,4.35
5,0.72,5,0.74,5,0.8,5,0.54,5,0.22,5,0.95,5,0.86,5,0.93,5,1.26,5,1.15,5,2.84,5,1.15,5,2.28,5,4.17,5,4.57,5,6.44,5,1.04,5,0.49,5,0.68,5,0.75,5,0.55,5,0.14,5,0.81,5,0.93,5,0.83,5,2.7,5,1.55,5,1.44,5,2.7,5,1.7,5,1.95,5,4.85,5,4.64,5,6.77,5,0.74,5,0.02,5,0.28,5,0.46,5,0.25,5,0.29,5,0.76,5,0.99,5,0.8,5,2.39,5,1.12,5,1.73,5,2.16,5,0.71,5,1.09,5,4.75,5,5.1,5,5.66,5,0.9,5,0.53,5,0.31,5,0.82,5,0.26,5,0.4,5,0.97,5,0.86,5,0.69,5,1,5,1.18,5,1.6,5,2.06,5,0.54,5,1.08,5,5.16,5,4.9,5,4.41
5.5,0.77,5.5,0.78,5.5,0.85,5.5,0.59,5.5,0.22,5.5,1,5.5,0.91,5.5,0.97,5.5,1.31,5.5,1.21,5.5,2.91,5.5,1.21,5.5,2.34,5.5,4.22,5.5,4.67,5.5,6.46,5.5,1.08,5.5,0.52,5.5,0.73,5.5,0.8,5.5,0.64,5.5,0.14,5.5,0.84,5.5,1,5.5,0.9,5.5,2.79,5.5,1.6,5.5,1.51,5.5,2.82,5.5,1.75,5.5,2.03,5.5,4.92,5.5,4.71,5.5,6.8,5.5,0.78,5.5,0.03,5.5,0.33,5.5,0.5,5.5,0.32,5.5,0.32,5.5,0.82,5.5,1.06,5.5,0.92,5.5,2.48,5.5,1.19,5.5,1.79,5.5,2.25,5.5,0.74,5.5,1.18,5.5,4.83,5.5,5.13,5.5,5.69,5.5,0.96,5.5,0.53,5.5,0.35,5.5,0.88,5.5,0.34,5.5,0.4,5.5,1.02,5.5,0.93,5.5,0.75,5.5,1.09,5.5,1.26,5.5,1.65,5.5,2.12,5.5,0.6,5.5,1.13,5.5,5.24,5.5,4.98,5.5,4.5
6,0.78,6,0.85,6,0.89,6,0.6,6,0.22,6,1.02,6,0.96,6,1.04,6,1.33,6,1.25,6,2.94,6,1.18,6,2.34,6,4.29,6,4.72,6,6.46,6,1.15,6,0.53,6,0.72,6,0.83,6,0.65,6,0.13,6,0.88,6,1.06,6,0.94,6,2.83,6,1.6,6,1.51,6,2.89,6,1.77,6,2.06,6,5.01,6,4.75,6,6.82,6,0.85,6,0.05,6,0.38,6,0.53,6,0.32,6,0.32,6,0.83,6,1.12,6,0.97,6,2.5,6,1.18,6,1.78,6,2.28,6,0.76,6,1.21,6,4.93,6,5.22,6,5.71,6,1,6,0.52,6,0.34,6,0.92,6,0.34,6,0.37,6,1.06,6,0.98,6,0.81,6,1.11,6,1.26,6,1.66,6,2.12,6,0.6,6,1.14,6,5.29,6,5.03,6,4.55
6.5,0.78,6.5,0.93,6.5,0.91,6.5,0.58,6.5,0.22,6.5,1.05,6.5,0.99,6.5,1.07,6.5,1.32,6.5,1.25,6.5,2.95,6.5,1.19,6.5,2.34,6.5,4.37,6.5,4.79,6.5,6.46,6.5,1.23,6.5,0.53,6.5,0.68,6.5,0.86,6.5,0.66,6.5,0.13,6.5,0.9,6.5,1.12,6.5,0.97,6.5,2.88,6.5,1.6,6.5,1.52,6.5,2.95,6.5,1.8,6.5,2.07,6.5,5.09,6.5,4.79,6.5,6.84,6.5,0.93,6.5,0.08,6.5,0.37,6.5,0.53,6.5,0.31,6.5,0.32,6.5,0.85,6.5,1.18,6.5,1.02,6.5,2.52,6.5,1.2,6.5,1.78,6.5,2.3,6.5,0.78,6.5,1.26,6.5,5.01,6.5,5.3,6.5,5.71,6.5,1,6.5,0.52,6.5,0.34,6.5,0.95,6.5,0.33,6.5,0.38,6.5,1.12,6.5,1.04,6.5,0.86,6.5,1.13,6.5,1.26,6.5,1.68,6.5,2.16,6.5,0.61,6.5,1.15,6.5,5.36,6.5,5.07,6.5,4.6
7,0.84,7,0.97,7,0.96,7,0.59,7,0.2,7,1.08,7,1.03,7,1.14,7,1.32,7,1.27,7,3,7,1.21,7,2.39,7,4.45,7,4.85,7,6.5,7,1.27,7,0.54,7,0.67,7,0.9,7,0.7,7,0.15,7,0.94,7,1.18,7,1.03,7,2.97,7,1.64,7,1.55,7,3,7,1.86,7,2.11,7,5.18,7,4.86,7,6.88,7,0.97,7,0.09,7,0.39,7,0.54,7,0.36,7,0.35,7,0.91,7,1.24,7,1.09,7,2.57,7,1.27,7,1.8,7,2.36,7,0.83,7,1.33,7,5.11,7,5.38,7,5.75,7,1.04,7,0.52,7,0.36,7,1,7,0.35,7,0.38,7,1.18,7,1.09,7,0.92,7,1.2,7,1.26,7,1.76,7,2.2,7,0.66,7,1.18,7,5.47,7,5.14,7,4.65
7.5,0.85,7.5,1.02,7.5,1.02,7.5,0.62,7.5,0.2,7.5,1.1,7.5,1.12,7.5,1.2,7.5,1.38,7.5,1.37,7.5,3.03,7.5,1.23,7.5,2.42,7.5,4.52,7.5,4.9,7.5,6.51,7.5,1.31,7.5,0.55,7.5,0.7,7.5,0.94,7.5,0.77,7.5,0.13,7.5,0.97,7.5,1.23,7.5,1.08,7.5,3.03,7.5,1.66,7.5,1.6,7.5,3.06,7.5,1.88,7.5,2.18,7.5,5.21,7.5,4.94,7.5,6.9,7.5,1.02,7.5,0.1,7.5,0.47,7.5,0.54,7.5,0.37,7.5,0.36,7.5,0.93,7.5,1.3,7.5,1.15,7.5,2.6,7.5,1.28,7.5,1.85,7.5,2.39,7.5,0.85,7.5,1.39,7.5,5.16,7.5,5.44,7.5,5.77,7.5,1.08,7.5,0.5,7.5,0.41,7.5,1.03,7.5,0.39,7.5,0.38,7.5,1.25,7.5,1.14,7.5,0.98,7.5,1.28,7.5,1.37,7.5,1.78,7.5,2.24,7.5,0.7,7.5,1.23,7.5,5.52,7.5,5.21,7.5,4.7
8,0.85,8,1.1,8,1.05,8,0.6,8,0.21,8,1.11,8,1.15,8,1.24,8,1.36,8,1.37,8,3.03,8,1.2,8,2.43,8,4.59,8,4.93,8,6.5,8,1.4,8,0.58,8,0.67,8,0.96,8,0.78,8,0.11,8,0.99,8,1.29,8,1.12,8,3.05,8,1.65,8,1.6,8,3.08,8,1.9,8,2.19,8,5.25,8,4.97,8,6.9,8,1.1,8,0.14,8,0.45,8,0.53,8,0.35,8,0.36,8,0.95,8,1.34,8,1.18,8,2.6,8,1.28,8,1.83,8,2.39,8,0.86,8,1.41,8,5.22,8,5.47,8,5.77,8,1.1,8,0.48,8,0.4,8,1.07,8,0.37,8,0.38,8,1.28,8,1.17,8,1.04,8,1.28,8,1.35,8,1.8,8,2.24,8,0.7,8,1.24,8,5.57,8,5.23,8,4.73
8.5,0.85,8.5,1.14,8.5,1.1,8.5,0.59,8.5,0.22,8.5,1.11,8.5,1.2,8.5,1.28,8.5,1.35,8.5,1.38,8.5,3.03,8.5,1.18,8.5,2.43,8.5,4.64,8.5,4.97,8.5,6.5,8.5,1.42,8.5,0.58,8.5,0.65,8.5,1,8.5,0.79,8.5,0.11,8.5,1.01,8.5,1.32,8.5,1.14,8.5,3.07,8.5,1.65,8.5,1.6,8.5,3.1,8.5,1.9,8.5,2.22,8.5,5.31,8.5,5,8.5,6.92,8.5,1.14,8.5,0.17,8.5,0.45,8.5,0.51,8.5,0.36,8.5,0.37,8.5,0.96,8.5,1.38,8.5,1.27,8.5,2.61,8.5,1.29,8.5,1.84,8.5,2.41,8.5,0.87,8.5,1.46,8.5,5.23,8.5,5.52,8.5,5.78,8.5,1.12,8.5,0.49,8.5,0.4,8.5,1.1,8.5,0.37,8.5,0.41,8.5,1.31,8.5,1.19,8.5,1.07,8.5,1.32,8.5,1.36,8.5,1.82,8.5,2.28,8.5,0.71,8.5,1.24,8.5,5.61,8.5,5.3,8.5,4.76
9,0.9,9,1.18,9,1.17,9,0.61,9,0.22,9,1.15,9,1.21,9,1.34,9,1.37,9,1.44,9,3.07,9,1.24,9,2.48,9,4.71,9,5.05,9,6.54,9,1.47,9,0.6,9,0.68,9,1.05,9,0.83,9,0.12,9,1.07,9,1.37,9,1.18,9,3.19,9,1.73,9,1.65,9,3.16,9,2,9,2.31,9,5.36,9,5.1,9,6.95,9,1.18,9,0.19,9,0.47,9,0.52,9,0.37,9,0.41,9,1.02,9,1.44,9,1.32,9,2.68,9,1.36,9,1.89,9,2.46,9,0.93,9,1.54,9,5.27,9,5.58,9,5.82,9,1.15,9,0.47,9,0.45,9,1.14,9,0.41,9,0.41,9,1.38,9,1.24,9,1.14,9,1.38,9,1.44,9,1.88,9,2.34,9,0.78,9,1.33,9,5.68,9,5.38,9,4.82
