Test,8,Test,1,Test,12,Test,20,Test,16,Test,32,Test,28,Test,24,Test,43,Test,36,Test,47,Test,55,Test,51,Test,67,Test,63,Test,59,Test,2,Test,5,Test,9,Test,13,Test,21,Test,17,Test,33,Test,29,Test,25,Test,37,Test,40,Test,44,Test,48,Test,56,Test,52,Test,68,Test,64,Test,60,Test,3,Test,6,Test,10,Test,14,Test,22,Test,18,Test,34,Test,30,Test,26,Test,38,Test,41,Test,45,Test,49,Test,57,Test,53,Test,69,Test,65,Test,61,Test,4,Test,7,Test,11,Test,15,Test,23,Test,19,Test,35,Test,31,Test,27,Test,39,Test,42,Test,46,Test,50,Test,58,Test,54,Test,70,Test,66,Test,62
Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa,Displacement,kPa
9.5,0.91,9.5,1.23,9.5,1.21,9.5,0.6,9.5,0.24,9.5,1.16,9.5,1.24,9.5,1.4,9.5,1.38,9.5,1.48,9.5,3.08,9.5,1.23,9.5,2.5,9.5,4.77,9.5,5.09,9.5,6.54,9.5,1.47,9.5,0.63,9.5,0.69,9.5,1.08,9.5,0.86,9.5,0.12,9.5,1.12,9.5,1.42,9.5,1.2,9.5,3.2,9.5,1.73,9.5,1.67,9.5,3.17,9.5,2.02,9.5,2.34,9.5,5.4,9.5,5.13,9.5,6.96,9.5,1.23,9.5,0.24,9.5,0.52,9.5,0.52,9.5,0.39,9.5,0.41,9.5,1.05,9.5,1.48,9.5,1.38,9.5,2.7,9.5,1.36,9.5,1.88,9.5,2.46,9.5,0.95,9.5,1.57,9.5,5.33,9.5,5.61,9.5,5.82,9.5,1.19,9.5,0.45,9.5,0.46,9.5,1.18,9.5,0.42,9.5,0.41,9.5,1.42,9.5,1.29,9.5,1.18,9.5,1.42,9.5,1.44,9.5,1.89,9.5,2.35,9.5,0.78,9.5,1.34,9.5,5.73,9.5,5.39,9.5,4.84
10,0.92,10,1.3,10,1.25,10,0.58,10,0.24,10,1.16,10,1.26,10,1.43,10,1.35,10,1.47,10,3.06,10,1.19,10,2.5,10,4.81,10,5.1,10,6.52,10,1.5,10,0.63,10,0.66,10,1.1,10,0.86,10,0.12,10,1.14,10,1.44,10,1.2,10,3.22,10,1.73,10,1.67,10,3.17,10,2.05,10,2.34,10,5.47,10,5.14,10,6.96,10,1.3,10,0.28,10,0.51,10,0.51,10,0.39,10,0.41,10,1.07,10,1.51,10,1.42,10,2.7,10,1.36,10,1.88,10,2.46,10,0.96,10,1.62,10,5.37,10,5.63,10,5.82,10,1.2,10,0.44,10,0.45,10,1.19,10,0.4,10,0.44,10,1.43,10,1.3,10,1.22,10,1.43,10,1.44,10,1.93,10,2.37,10,0.78,10,1.34,10,5.77,10,5.41,10,4.86
10.5,0.95,10.5,1.34,10.5,1.3,10.5,0.57,10.5,0.25,10.5,1.17,10.5,1.28,10.5,1.49,10.5,1.34,10.5,1.48,10.5,3.07,10.5,1.19,10.5,2.52,10.5,4.86,10.5,5.13,10.5,6.56,10.5,1.52,10.5,0.63,10.5,0.64,10.5,1.15,10.5,0.88,10.5,0.13,10.5,1.17,10.5,1.49,10.5,1.23,10.5,3.25,10.5,1.74,10.5,1.68,10.5,3.2,10.5,2.08,10.5,2.38,10.5,5.49,10.5,5.18,10.5,6.97,10.5,1.34,10.5,0.31,10.5,0.51,10.5,0.51,10.5,0.41,10.5,0.46,10.5,1.11,10.5,1.55,10.5,1.46,10.5,2.75,10.5,1.4,10.5,1.89,10.5,2.47,10.5,1,10.5,1.68,10.5,5.43,10.5,5.68,10.5,5.83,10.5,1.23,10.5,0.44,10.5,0.47,10.5,1.2,10.5,0.4,10.5,0.44,10.5,1.47,10.5,1.34,10.5,1.26,10.5,1.48,10.5,1.45,10.5,1.96,10.5,2.41,10.5,0.8,10.5,1.35,10.5,5.8,10.5,5.45,10.5,4.87
11,0.98,11,1.36,11,1.35,11,0.59,11,0.27,11,1.18,11,1.31,11,1.52,11,1.37,11,1.56,11,3.11,11,1.22,11,2.57,11,4.92,11,5.21,11,6.56,11,1.53,11,0.65,11,0.67,11,1.2,11,0.92,11,0.13,11,1.24,11,1.52,11,1.25,11,3.29,11,1.78,11,1.73,11,3.22,11,2.15,11,2.46,11,5.51,11,5.21,11,6.99,11,1.36,11,0.33,11,0.57,11,0.52,11,0.44,11,0.47,11,1.17,11,1.6,11,1.51,11,2.79,11,1.44,11,1.92,11,2.5,11,1.04,11,1.75,11,5.47,11,5.72,11,5.84,11,1.27,11,0.42,11,0.51,11,1.24,11,0.42,11,0.43,11,1.53,11,1.37,11,1.3,11,1.53,11,1.5,11,1.98,11,2.45,11,0.85,11,1.42,11,5.86,11,5.5,11,4.92
11.5,0.98,11.5,1.42,11.5,1.38,11.5,0.57,11.5,0.31,11.5,1.17,11.5,1.33,11.5,1.55,11.5,1.35,11.5,1.56,11.5,3.1,11.5,1.19,11.5,2.58,11.5,4.93,11.5,5.21,11.5,6.56,11.5,1.55,11.5,0.65,11.5,0.66,11.5,1.2,11.5,0.93,11.5,0.14,11.5,1.25,11.5,1.55,11.5,1.27,11.5,3.29,11.5,1.78,11.5,1.74,11.5,3.23,11.5,2.17,11.5,2.47,11.5,5.52,11.5,5.22,11.5,6.99,11.5,1.42,11.5,0.38,11.5,0.57,11.5,0.54,11.5,0.44,11.5,0.48,11.5,1.18,11.5,1.62,11.5,1.56,11.5,2.79,11.5,1.44,11.5,1.91,11.5,2.5,11.5,1.06,11.5,1.77,11.5,5.5,11.5,5.73,11.5,5.84,11.5,1.28,11.5,0.41,11.5,0.51,11.5,1.26,11.5,0.43,11.5,0.43,11.5,1.54,11.5,1.39,11.5,1.36,11.5,1.54,11.5,1.49,11.5,1.98,11.5,2.46,11.5,0.85,11.5,1.43,11.5,5.87,11.5,5.51,11.5,4.93
12,0.99,12,1.43,12,1.42,12,0.55,12,0.32,12,1.17,12,1.35,12,1.57,12,1.33,12,1.56,12,3.1,12,1.17,12,2.58,12,4.96,12,5.21,12,6.55,12,1.57,12,0.65,12,0.65,12,1.23,12,0.93,12,0.14,12,1.26,12,1.57,12,1.28,12,3.29,12,1.78,12,1.74,12,3.24,12,2.19,12,2.48,12,5.55,12,5.22,12,6.99,12,1.43,12,0.43,12,0.56,12,0.54,12,0.46,12,0.49,12,1.2,12,1.65,12,1.58,12,2.8,12,1.44,12,1.91,12,2.52,12,1.09,12,1.82,12,5.52,12,5.74,12,5.85,12,1.28,12,0.4,12,0.51,12,1.28,12,0.43,12,0.43,12,1.55,12,1.42,12,1.4,12,1.56,12,1.49,12,1.99,12,2.47,12,0.86,12,1.44,12,5.9,12,5.53,12,4.95
12.5,0.99,12.5,1.44,12.5,1.47,12.5,0.56,12.5,0.36,12.5,1.18,12.5,1.42,12.5,1.61,12.5,1.32,12.5,1.6,12.5,3.13,12.5,1.21,12.5,2.64,12.5,5.01,12.5,5.27,12.5,6.57,12.5,1.58,12.5,0.68,12.5,0.67,12.5,1.25,12.5,0.97,12.5,0.14,12.5,1.32,12.5,1.62,12.5,1.3,12.5,3.35,12.5,1.83,12.5,1.77,12.5,3.27,12.5,2.23,12.5,2.57,12.5,5.59,12.5,5.25,12.5,7.02,12.5,1.44,12.5,0.44,12.5,0.58,12.5,0.53,12.5,0.47,12.5,0.53,12.5,1.26,12.5,1.69,12.5,1.61,12.5,2.84,12.5,1.51,12.5,1.94,12.5,2.53,12.5,1.14,12.5,1.91,12.5,5.56,12.5,5.81,12.5,5.86,12.5,1.32,12.5,0.38,12.5,0.54,12.5,1.31,12.5,0.46,12.5,0.43,12.5,1.6,12.5,1.45,12.5,1.44,12.5,1.62,12.5,1.53,12.5,2.03,12.5,2.53,12.5,0.91,12.5,1.49,12.5,5.96,12.5,5.57,12.5,4.99
13,1,13,1.45,13,1.5,13,0.55,13,0.42,13,1.19,13,1.47,13,1.63,13,1.34,13,1.63,13,3.14,13,1.18,13,2.65,13,5.05,13,5.3,13,6.57,13,1.58,13,0.69,13,0.7,13,1.28,13,0.99,13,0.17,13,1.34,13,1.66,13,1.32,13,3.35,13,1.83,13,1.79,13,3.29,13,2.25,13,2.59,13,5.6,13,5.26,13,7.03,13,1.45,13,0.46,13,0.61,13,0.5,13,0.48,13,0.54,13,1.29,13,1.71,13,1.63,13,2.85,13,1.51,13,1.95,13,2.53,13,1.16,13,1.95,13,5.6,13,5.82,13,5.86,13,1.33,13,0.35,13,0.56,13,1.33,13,0.46,13,0.41,13,1.63,13,1.47,13,1.48,13,1.64,13,1.53,13,2.04,13,2.54,13,0.92,13,1.53,13,5.98,13,5.59,13,5.01
13.5,0.98,13.5,1.48,13.5,1.52,13.5,0.54,13.5,0.46,13.5,1.19,13.5,1.5,13.5,1.65,13.5,1.32,13.5,1.64,13.5,3.14,13.5,1.17,13.5,2.66,13.5,5.08,13.5,5.31,13.5,6.57,13.5,1.61,13.5,0.68,13.5,0.7,13.5,1.31,13.5,1,13.5,0.2,13.5,1.35,13.5,1.68,13.5,1.35,13.5,3.35,13.5,1.83,13.5,1.79,13.5,3.29,13.5,2.26,13.5,2.6,13.5,5.61,13.5,5.27,13.5,7.03,13.5,1.48,13.5,0.5,13.5,0.61,13.5,0.45,13.5,0.48,13.5,0.54,13.5,1.3,13.5,1.73,13.5,1.65,13.5,2.85,13.5,1.51,13.5,1.94,13.5,2.54,13.5,1.17,13.5,1.99,13.5,5.62,13.5,5.83,13.5,5.87,13.5,1.33,13.5,0.34,13.5,0.56,13.5,1.34,13.5,0.46,13.5,0.42,13.5,1.63,13.5,1.49,13.5,1.51,13.5,1.65,13.5,1.53,13.5,2.05,13.5,2.54,13.5,0.93,13.5,1.55,13.5,6,13.5,5.6,13.5,5.03
14,1,14,1.5,14,1.55,14,0.53,14,0.5,14,1.22,14,1.53,14,1.68,14,1.3,14,1.64,14,3.18,14,1.13,14,2.67,14,5.1,14,5.33,14,6.58,14,1.61,14,0.68,14,0.7,14,1.34,14,1,14,0.23,14,1.37,14,1.71,14,1.35,14,3.35,14,1.84,14,1.8,14,3.3,14,2.28,14,2.62,14,5.65,14,5.27,14,7.04,14,1.5,14,0.53,14,0.61,14,0.43,14,0.48,14,0.56,14,1.34,14,1.77,14,1.7,14,2.86,14,1.54,14,1.95,14,2.55,14,1.19,14,2.04,14,5.64,14,5.85,14,5.87,14,1.33,14,0.34,14,0.56,14,1.35,14,0.47,14,0.42,14,1.66,14,1.52,14,1.56,14,1.67,14,1.53,14,2.07,14,2.57,14,0.95,14,1.57,14,6.03,14,5.62,14,5.05
14.5,1,14.5,1.5,14.5,1.57,14.5,0.54,14.5,0.57,14.5,1.23,14.5,1.55,14.5,1.7,14.5,1.32,14.5,1.68,14.5,3.21,14.5,1.11,14.5,2.71,14.5,5.14,14.5,5.37,14.5,6.59,14.5,1.61,14.5,0.7,14.5,0.73,14.5,1.36,14.5,1.04,14.5,0.27,14.5,1.39,14.5,1.73,14.5,1.36,14.5,3.37,14.5,1.86,14.5,1.81,14.5,3.32,14.5,2.33,14.5,2.65,14.5,5.67,14.5,5.28,14.5,7.06,14.5,1.5,14.5,0.53,14.5,0.63,14.5,0.4,14.5,0.49,14.5,0.56,14.5,1.36,14.5,1.79,14.5,1.72,14.5,2.9,14.5,1.56,14.5,1.95,14.5,2.57,14.5,1.22,14.5,2.07,14.5,5.68,14.5,5.88,14.5,5.88,14.5,1.33,14.5,0.32,14.5,0.57,14.5,1.38,14.5,0.51,14.5,0.41,14.5,1.69,14.5,1.55,14.5,1.59,14.5,1.69,14.5,1.54,14.5,2.11,14.5,2.6,14.5,0.97,14.5,1.6,14.5,6.05,14.5,5.65,14.5,5.08
15,0.99,15,1.52,15,1.59,15,0.54,15,0.64,15,1.24,15,1.56,15,1.73,15,1.31,15,1.69,15,3.23,15,1.09,15,2.72,15,5.16,15,5.38,15,6.6,15,1.61,15,0.7,15,0.73,15,1.38,15,1.05,15,0.32,15,1.4,15,1.75,15,1.37,15,3.38,15,1.87,15,1.83,15,3.34,15,2.34,15,2.67,15,5.69,15,5.29,15,7.07,15,1.52,15,0.57,15,0.63,15,0.36,15,0.49,15,0.57,15,1.38,15,1.82,15,1.73,15,2.9,15,1.57,15,1.94,15,2.57,15,1.24,15,2.11,15,5.72,15,5.9,15,5.9,15,1.34,15,0.3,15,0.57,15,1.38,15,0.52,15,0.39,15,1.71,15,1.57,15,1.61,15,1.72,15,1.54,15,2.12,15,2.61,15,0.97,15,1.62,15,6.08,15,5.66,15,5.1
